song_id,annotated_patterns,selected_patterns
NLB015569_01,8_10_12_1,"6_5_6,10_1_12_1,6_8,12_10,8_8,10_1_12,1_8_12_10_1_12,10_12_1_8_12,6_5,12_1,1_12_1,10_12,3_1,12_1_8,6_5_6_8,1_12,5_6"
NLB070033_01,"8_6_5_3,1_5_5","5_3,1_5_3_1_8_6,6_5_3,8_6_5,6_5,5_3_1_5_5_1,8_6,3_1,1_1,5_3_1,3_1_5_5_1,5_5_1_1_3_3,1_5_5_1_1_3,5_1_1_3_3_5,8_6_5_3,5_3_1_8_6_5,1_5,5_3_1_8_6,3_1_8_6_5_3"
NLB070053_01,"1_12_10_8_10_12_1,12_10,12_1_12_10_8_10_12_1,5_3_12_10,8_1_5_8_1,12_10_8","5_3_12_10_12_1,3_12_10_12_1_12,1_3_5_3_12_10,8_1,10_12,8_1_5_8_1,1_5_8_1_3_5,12_10,3_12_10_12_1,12_1,8_1_3_5_3_12,1_5,5_3_12_10_12,3_5_3_12_10_12,1_3,3_12_10_12,10_8,10_12_1,5_8,1_12"
NLB070078_01,"10_10_8_3,10_8","10_10_8,6_10_10_8_3_1,8_8,8_6,6_5_5_3_6_10,12_10_8_6_5_5,5_3_6_10_10_8,8_3,8_1,12_10,5_5_3_6_10_10,6_10_10_8_3,10_10_8_3,5_3_6_10,8_10,10_8,5_5_3_6_10,10_10,10_8_6"
NLB070079_01,"10_8_8,1_1,6_5_3,3_5_10_10_8,8_10_8,3_5_10_8_1,1_8_8_8_1_12,6_6,8_10_6_5","5_3,10_6,5_10_8_1,8_8,5_1_1_3_5_10,3_5,6_5,8_10_6_5_1,10_6_5_1_1,10_6_5_1_1_3,8_1,8_10_6_5_1_1,3_5_10,1_1_3_5_10,5_10,3_5_10_8_1,1_3,8_10,10_8,8_8_10_6_5_1"
NLB070089_01,"8_10_12_1,8_5_8_1,1_12_6","1_10_12_3_1_8,12_6_6_6_8,8_5_8_1,8_1,10_12,5_8_1,1_10_12_3_1,5_8,8_5,3_1,6_6,1_12_6_6_6,12_6_6_6_8_12,12_6_6_6,8_12_10_10_8_5,1_3,8_5_8,6_6_8_12_10_10"
NLB070096_01,"1_12_10_8_10_12_1,12_10,5_3_1_10,1_12_10_8,8_5_8_1","5_3_1_10_1,3_1_10_1,1_5_3_1_10_1,8_5_8_1,8_1,10_12,5_8_1,8_5,3_1_10_1_12_10,8_5_8,12_10,8_5_8_1_5_3,12_1,1_10_1_12_10,5_8_1_5_3_1,10_8,5_3_1_10_1_12,1_10_1_12_10_8,5_8,1_12"
NLB070122_01,"10_8_8,1_3_5_8_1_12,1_1,3_6_10_8_1,8_10_8,1_5_5_5,6_6,5_6_8,8_10_6_5,6_3","5_3,5_6_3_1_5_5,1_3_6_10_8,3_5,6_3_1_5_5,5_5_3_3_8_10,6_6,1_3_5_8_1_12,5_5,5_3_3_8_10_8,8_1,5_3_3_8_10,6_8_1_3_5_8,1_5_5_5_3_3,1_3,5_6,8_10,10_8,10_10,3_5_8_1_12_12"
NLB070125_01,"1_5_5_3,8_5_8_3_1","8_8,6_5_8_1_5_5,6_5,8_6,6_6,6_6_5_8_1_5,8_1,6_6_5_8_1,5_8_1_5_5_3,8_6_6_5_8_1,1_5,10_8_6_6_5_8,8_1_12_10_8_6,8_10,10_8,8_6_6_5_8,10_8_6,5_8,5_8_1_5_5,6_5_8_1_5"
NLB070134_01,"5_5_6_8_10_10_10,10_8_5,8_8_1","6_8,8_8,3_1_3_5_5,3_5,3_1,1_3_1_3_5,1_1,5_5,1_1_1_3_1_3,8_1,1_1_3_1_3_5,1_3,5_6,1_3_1_3,8_8_1_1_1_3,1_1_1_3_1,1_1_3_1_3,10_10,8_1_1_1_3_1,1_3_1_3_5_5"
NLB070137_01,"1_5_8_1,6_8_10_10_8,5_3_5_8_6,8_8_6_5,10_8_10_12_12_10_8,10_8_8_10_8_8","8_8,5_3_5_8_6,3_5_8_6_6,8_6,10_8_10_12_12,8_1,10_10_10_8_10_12,12_10,5_3_5_8_6_6,10_8_8_5_3_5,1_5,10_8_10_12_12_10,10_8_8,8_10,8_10_12_12_10_8,10_8,8_5_3_5_8,10_10,5_8,8_8_10_8_8"
